271PID=[{'id': 1, 'points': 64}]
931PID=[{'id': 1, 'points': 761}]
1694PID=[{'id': 1, 'points': 312}]
130PID=[{'id': 1, 'points': 1206}]
68PID=[{'id': 1, 'points': 1039}]
520PID=[{'id': 1, 'points': 751}]
598PID=[{'id': 1, 'points': 63}]
575PID=[{'id': 1, 'points': 184}]
698PID=[{'id': 1, 'points': 399}]
1269PID=[{'id': 1, 'points': 295}]
4978PID=[{'id': 1, 'points': 132}]
2145PID=[{'id': 1, 'points': 9}]
417PID=[{'id': 1, 'points': 135}]
3659PID=[{'id': 1, 'points': 65}]
2590PID=[{'id': 1, 'points': 41}]
2489PID=[{'id': 1, 'points': 12}]
5572PID=[{'id': 1, 'points': 0}]
495PID=[{'id': 1, 'points': 275}]
3580PID=[{'id': 1, 'points': 159}]
639PID=[{'id': 1, 'points': 178}]
3156PID=[{'id': 1, 'points': 17}]
93PID=[{'id': 1, 'points': 30}]
256PID=[{'id': 1, 'points': 128}]
5320PID=[{'id': 1, 'points': 20}]
4237PID=[{'id': 1, 'points': 334}]
3154PID=[{'id': 1, 'points': 173}]
2716PID=[{'id': 1, 'points': 80}]
1518PID=[{'id': 1, 'points': 320}]
5459PID=[{'id': 1, 'points': 29}]
3838PID=[{'id': 1, 'points': 77}]
527PID=[{'id': 1, 'points': 148}]
5126PID=[{'id': 1, 'points': 134}]
3849PID=[{'id': 1, 'points': 118}]
1918PID=[{'id': 1, 'points': 471}]
2130PID=[{'id': 1, 'points': 494}]
652PID=[{'id': 1, 'points': 226}]
523PID=[{'id': 1, 'points': 82}]
602PID=[{'id': 1, 'points': 46}]
2253PID=[{'id': 1, 'points': 99}]
2182PID=[{'id': 1, 'points': 8}]
3585PID=[{'id': 1, 'points': 49}]
4968PID=[{'id': 1, 'points': 313}]
2729PID=[{'id': 1, 'points': 9}]
2529PID=[{'id': 1, 'points': 39}]
5379PID=[{'id': 1, 'points': 159}]
4963PID=[{'id': 1, 'points': 9}]
4886PID=[{'id': 1, 'points': 138}]
387PID=[{'id': 1, 'points': 352}]
1164PID=[{'id': 1, 'points': 376}]
491PID=[{'id': 1, 'points': 432}]
304PID=[{'id': 1, 'points': 587}]
478PID=[{'id': 1, 'points': 92}]
708PID=[{'id': 1, 'points': 339}]
1216PID=[{'id': 1, 'points': 307}]
588PID=[{'id': 1, 'points': 116}]
569PID=[{'id': 1, 'points': 149}]
686PID=[{'id': 1, 'points': 698}]
603PID=[{'id': 1, 'points': 619}]
354PID=[{'id': 1, 'points': 130}]
423PID=[{'id': 1, 'points': 522}]
580PID=[{'id': 1, 'points': 417}]
346PID=[{'id': 1, 'points': 592}]
4683PID=[{'id': 1, 'points': 9}]
5569PID=[{'id': 1, 'points': 56}]
389PID=[{'id': 1, 'points': 228}]
3835PID=[{'id': 1, 'points': 19}]
1800PID=[{'id': 1, 'points': 454}]
3936PID=[{'id': 1, 'points': 9}]
5605PID=[{'id': 1, 'points': 75}]
1789PID=[{'id': 1, 'points': 235}]
96PID=[{'id': 1, 'points': 334}]
5436PID=[{'id': 1, 'points': 17}]
4179PID=[{'id': 1, 'points': 18}]
4343PID=[{'id': 1, 'points': 165}]
452PID=[{'id': 1, 'points': 519}]
5625PID=[{'id': 1, 'points': 8}]
4294PID=[{'id': 1, 'points': 77}]
4593PID=[{'id': 1, 'points': 276}]
3443PID=[{'id': 1, 'points': 67}]
3264PID=[{'id': 1, 'points': 10}]
3638PID=[{'id': 1, 'points': 87}]
4696PID=[{'id': 1, 'points': 20}]
4776PID=[{'id': 1, 'points': 85}]
4333PID=[{'id': 1, 'points': 168}]
15PID=[{'id': 1, 'points': 479}]
5638PID=[{'id': 1, 'points': 195}]
1534PID=[{'id': 1, 'points': 641}]
4952PID=[{'id': 1, 'points': 18}]
4405PID=[{'id': 1, 'points': 28}]
674PID=[{'id': 1, 'points': 291}]
4906PID=[{'id': 1, 'points': 0}]
663PID=[{'id': 1, 'points': 227}]
5161PID=[{'id': 1, 'points': 8}]
577PID=[{'id': 1, 'points': 166}]
507PID=[{'id': 1, 'points': 204}]
3240PID=[{'id': 1, 'points': 112}]
3705PID=[{'id': 1, 'points': 8}]
5642PID=[{'id': 1, 'points': 9}]
1174PID=[{'id': 1, 'points': 0}]
5709PID=[{'id': 1, 'points': 8}]
506PID=[{'id': 1, 'points': 97}]
660PID=[{'id': 1, 'points': 174}]
4335PID=[{'id': 1, 'points': 145}]
2849PID=[{'id': 1, 'points': 173}]
5742PID=[{'id': 1, 'points': 9}]
792PID=[{'id': 1, 'points': 32}]
287PID=[{'id': 1, 'points': 200}]
3317PID=[{'id': 1, 'points': 19}]
5762PID=[{'id': 1, 'points': 232}]
5302PID=[{'id': 1, 'points': 31}]
2136PID=[{'id': 1, 'points': 54}]
1748PID=[{'id': 1, 'points': 123}]
5053PID=[{'id': 1, 'points': 19}]
3114PID=[{'id': 1, 'points': 99}]
5767PID=[{'id': 1, 'points': 18}]
2225PID=[{'id': 1, 'points': 9}]
5820PID=[{'id': 1, 'points': 8}]
2149PID=[{'id': 1, 'points': 36}]
696PID=[{'id': 1, 'points': 856}]
3287PID=[{'id': 1, 'points': 9}]
2163PID=[{'id': 1, 'points': 47}]
2417PID=[{'id': 1, 'points': 28}]
